team,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK
Algeria,22,27.7,63.0,3,33,270,3.0,5,3,8,5,0,0,1,0,1.67,1.00,2.67,1.67,2.67
Argentina,24,29.7,58.3,3,33,270,3.0,8,3,11,7,1,2,2,0,2.67,1.00,3.67,2.33,3.33
Australia,20,25.6,40.7,3,33,270,3.0,2,1,3,2,0,0,5,0,0.67,0.33,1.00,0.67,1.00
Austria,20,29.3,48.0,3,33,270,3.0,5,4,9,4,1,1,4,0,1.67,1.33,3.00,1.33,2.67
Belgium,19,29.9,59.7,3,33,270,3.0,5,3,8,5,0,0,3,1,1.67,1.00,2.67,1.67,2.67
Bosnia–Herz,22,27.0,44.0,3,33,270,3.0,4,3,7,4,0,0,6,1,1.33,1.00,2.33,1.33,2.33
Brazil,22,29.6,57.8,4,44,360,4.0,9,8,17,9,0,0,7,0,2.25,2.00,4.25,2.25,4.25
Cabo Verde,21,31.3,37.3,3,33,270,3.0,2,0,2,2,0,0,4,0,0.67,0.00,0.67,0.67,0.67
Canada,21,27.4,56.8,4,44,360,4.0,8,3,11,8,0,0,7,0,2.00,0.75,2.75,2.00,2.75
Colombia,20,30.6,60.3,3,33,270,3.0,4,4,8,4,0,0,4,0,1.33,1.33,2.67,1.33,2.67
Congo DR,21,29.4,40.0,3,33,270,3.0,4,2,6,3,1,1,5,0,1.33,0.67,2.00,1.00,1.67
Côte d'Ivoire,22,25.9,49.8,4,44,360,4.0,5,4,9,5,0,0,4,0,1.25,1.00,2.25,1.25,2.25
Croatia,19,29.4,53.0,3,33,270,3.0,5,5,10,5,0,0,2,0,1.67,1.67,3.33,1.67,3.33
Curaçao,22,29.3,32.3,3,33,270,3.0,1,0,1,1,0,0,7,0,0.33,0.00,0.33,0.33,0.33
Czechia,21,28.2,42.7,3,33,270,3.0,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33
Ecuador,21,27.2,55.8,4,44,360,4.0,2,2,4,2,0,0,8,1,0.50,0.50,1.00,0.50,1.00
Egypt,20,29.6,54.3,3,33,270,3.0,5,5,10,5,0,0,6,0,1.67,1.67,3.33,1.67,3.33
England,20,26.8,66.0,3,33,270,3.0,6,5,11,5,1,1,2,0,2.00,1.67,3.67,1.67,3.33
France,21,27.3,57.0,4,44,360,4.0,13,12,25,13,0,0,1,0,3.25,3.00,6.25,3.25,6.25
Germany,23,28.5,65.0,4,44,390,4.3,11,10,21,10,1,1,3,0,2.54,2.31,4.85,2.31,4.62
Ghana,21,27.6,35.3,3,33,270,3.0,2,1,3,2,0,0,3,0,0.67,0.33,1.00,0.67,1.00
Haiti,18,29.0,42.7,3,33,270,3.0,1,1,2,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67
IR Iran,20,32.1,39.0,3,33,270,3.0,3,1,4,3,0,1,6,0,1.00,0.33,1.33,1.00,1.33
Iraq,25,26.8,38.3,3,33,270,3.0,1,1,2,1,0,0,4,1,0.33,0.33,0.67,0.33,0.67
Japan,24,27.9,46.3,4,44,360,4.0,8,7,15,8,0,0,4,0,2.00,1.75,3.75,2.00,3.75
Jordan,20,28.7,30.7,3,33,270,3.0,3,3,6,3,0,0,4,0,1.00,1.00,2.00,1.00,2.00
Korea Republic,20,28.6,63.0,3,33,270,3.0,2,2,4,2,0,0,4,0,0.67,0.67,1.33,0.67,1.33
Mexico,25,28.0,48.5,4,44,360,4.0,8,7,15,8,0,0,2,1,2.00,1.75,3.75,2.00,3.75
Morocco,20,26.3,61.8,4,44,390,4.3,7,6,13,7,0,0,2,0,1.62,1.38,3.00,1.62,3.00
Netherlands,22,27.6,53.3,4,44,390,4.3,10,10,20,10,0,0,3,0,2.31,2.31,4.62,2.31,4.62
New Zealand,17,28.5,47.0,3,33,270,3.0,4,3,7,4,0,0,4,0,1.33,1.00,2.33,1.33,2.33
Norway,25,27.4,49.8,4,44,360,4.0,9,7,16,9,0,1,2,0,2.25,1.75,4.00,2.25,4.00
Panama,20,29.2,45.7,3,33,270,3.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
Paraguay,24,28.3,31.5,4,44,390,4.3,3,3,6,3,0,0,9,1,0.69,0.69,1.38,0.69,1.38
Portugal,22,28.1,62.0,3,33,270,3.0,5,3,8,5,0,0,4,0,1.67,1.00,2.67,1.67,2.67
Qatar,22,30.1,33.0,3,33,270,3.0,2,2,4,2,0,0,4,2,0.67,0.67,1.33,0.67,1.33
Saudi Arabia,18,29.0,38.3,3,33,270,3.0,1,0,1,1,0,0,6,0,0.33,0.00,0.33,0.33,0.33
Scotland,20,29.6,44.3,3,33,270,3.0,1,0,1,1,0,0,5,0,0.33,0.00,0.33,0.33,0.33
Senegal,21,29.1,57.7,3,33,270,3.0,8,8,16,8,0,0,2,0,2.67,2.67,5.33,2.67,5.33
South Africa,19,27.1,48.0,4,44,360,4.0,2,1,3,1,1,1,5,2,0.50,0.25,0.75,0.25,0.50
Spain,18,27.0,69.3,3,33,270,3.0,4,4,8,4,0,0,2,0,1.33,1.33,2.67,1.33,2.67
Sweden,22,27.1,46.3,4,44,360,4.0,7,6,13,7,0,0,5,0,1.75,1.50,3.25,1.75,3.25
Switzerland,21,29.9,61.7,3,33,270,3.0,7,4,11,5,2,2,3,0,2.33,1.33,3.67,1.67,3.00
Tunisia,20,27.9,39.3,3,33,270,3.0,2,2,4,2,0,0,1,0,0.67,0.67,1.33,0.67,1.33
Türkiye,23,27.0,66.3,3,33,270,3.0,3,3,6,3,0,0,2,0,1.00,1.00,2.00,1.00,2.00
United States,23,27.0,60.0,3,33,270,3.0,6,4,10,6,0,0,5,0,2.00,1.33,3.33,2.00,3.33
Uruguay,17,29.0,55.0,3,33,270,3.0,3,1,4,3,0,0,5,1,1.00,0.33,1.33,1.00,1.33
Uzbekistan,23,27.4,38.3,3,33,270,3.0,2,1,3,2,0,0,4,0,0.67,0.33,1.00,0.67,1.00
