Team,Win_Probability,Reach_Final_Prob,Reach_Semi_Prob
Argentina,24.19,39.12,57.05
France,15.950000000000001,26.93,41.92
Spain,13.77,23.82,39.519999999999996
Brazil,5.96,11.59,24.490000000000002
Colombia,5.489999999999999,12.17,23.02
England,4.5,10.280000000000001,23.810000000000002
Mexico,4.33,9.41,19.64
Morocco,3.7199999999999998,8.0,16.55
Portugal,3.6900000000000004,8.19,17.299999999999997
Netherlands,3.65,8.19,16.06
Germany,2.4899999999999998,6.17,12.94
Norway,1.96,5.12,14.14
Belgium,1.71,4.96,13.469999999999999
Croatia,1.26,3.3099999999999996,8.53
Switzerland,1.21,3.17,7.88
Japan,1.0699999999999998,2.83,8.57
United States,0.98,3.3300000000000005,10.41
Canada,0.72,2.16,6.32
Ecuador,0.64,1.76,5.6000000000000005
Austria,0.5499999999999999,1.68,4.760000000000001
Algeria,0.49,1.5599999999999998,4.5
Paraguay,0.44999999999999996,1.35,4.08
Australia,0.41000000000000003,1.23,3.9899999999999998
Senegal,0.38,1.47,5.140000000000001
Egypt,0.2,0.86,2.79
Ivory Coast,0.12,0.5499999999999999,2.56
Sweden,0.06999999999999999,0.27999999999999997,1.58
DR Congo,0.03,0.22999999999999998,1.1900000000000002
Bosnia and Herzegovina,0.01,0.08,0.8699999999999999
Ghana,0.0,0.03,0.31
South Africa,0.0,0.08,0.5499999999999999
Cape Verde,0.0,0.09,0.45999999999999996
