date,home_team,away_team,tournament,city,country,neutral
2026-07-01,England,DR Congo,FIFA World Cup,Atlanta,United States,True
2026-07-01,Belgium,Senegal,FIFA World Cup,Seattle,United States,True
2026-07-01,United States,Bosnia and Herzegovina,FIFA World Cup,Santa Clara,United States,False
2026-07-02,Spain,Austria,FIFA World Cup,Inglewood,United States,True
2026-07-02,Portugal,Croatia,FIFA World Cup,Toronto,Canada,True
2026-07-02,Switzerland,Algeria,FIFA World Cup,Vancouver,Canada,True
2026-07-03,Australia,Egypt,FIFA World Cup,Arlington,United States,True
2026-07-03,Argentina,Cape Verde,FIFA World Cup,Miami Gardens,United States,True
2026-07-03,Colombia,Ghana,FIFA World Cup,Kansas City,United States,True
2026-07-04,Canada,Morocco,FIFA World Cup,Houston,United States,True
